date,sends,opens,clicks,unsubscribes,revenue
2024-01-01,10000,4500,540,12,3500
2024-01-02,10050,4400,520,15,3400
2024-01-03,10100,4600,560,10,3600
2024-01-04,10150,4550,530,14,3450
2024-01-05,10200,4700,580,11,3700
2024-01-06,10250,4650,550,13,3550
2024-01-07,10300,4800,600,9,3800
2024-01-08,10350,4750,570,16,3650
2024-01-09,10400,4850,610,8,3900
2024-01-10,10450,8500,1200,5,6500
2024-01-11,10500,4900,590,12,3750
2024-01-12,10550,4950,620,11,3850
2024-01-13,10600,5000,630,10,3950
2024-01-14,10650,5050,640,14,4000
2024-01-15,10700,4980,600,13,3900
2024-01-16,10750,5100,650,9,4100
2024-01-17,10800,5150,660,11,4150
2024-01-18,10850,5200,670,12,4200
2024-01-19,10900,5250,680,10,4250
2024-01-20,10950,5300,690,8,4300
2024-01-21,11000,5350,700,15,4350
2024-01-22,11050,5400,710,7,4400
2024-01-23,11100,5450,720,13,4450
2024-01-24,11150,5500,730,11,4500
2024-01-25,11200,5550,740,9,4550
2024-01-26,11250,5600,750,14,4600
2024-01-27,11300,5650,760,10,4650
2024-01-28,11350,5700,770,12,4700
2024-01-29,11400,5750,780,8,4750
2024-01-30,11450,5800,790,11,4800
2024-01-31,11500,5850,800,13,4850
2024-02-01,11550,5900,810,10,4900
2024-02-02,11600,5950,820,9,4950
2024-02-03,11650,6000,830,12,5000
2024-02-04,11700,6050,840,11,5050
2024-02-05,11750,6100,850,8,5100
2024-02-06,11800,6150,860,14,5150
2024-02-07,11850,6200,870,10,5200
2024-02-08,11900,6250,880,13,5250
2024-02-09,11950,6300,890,7,5300
2024-02-10,12000,6350,900,11,5350
2024-02-11,12050,6400,910,12,5400
2024-02-12,12100,6450,920,9,5450
2024-02-13,12150,6500,930,10,5500
2024-02-14,12200,6550,940,15,5550
2024-02-15,12250,6600,950,8,5600
2024-02-16,12300,6650,960,11,5650
2024-02-17,12350,6700,970,13,5700
2024-02-18,12400,6750,980,10,5750
2024-02-19,12450,6800,990,9,5800
2024-02-20,12500,6850,1000,14,5850
2024-02-21,12550,6900,1010,12,5900
2024-02-22,12600,6950,1020,7,5950
2024-02-23,12650,7000,1030,11,6000
2024-02-24,12700,7050,1040,10,6050
2024-02-25,12750,7100,1050,13,6100
2024-02-26,12800,7150,1060,8,6150
2024-02-27,12850,7200,1070,12,6200
2024-02-28,12900,7250,1080,11,6250
2024-02-29,12950,7300,1090,9,6300
2024-03-01,13000,7350,1100,14,6350
2024-03-02,13050,7400,1110,10,6400
2024-03-03,13100,7450,1120,12,6450
2024-03-04,13150,7500,1130,8,6500
2024-03-05,13200,7550,1140,11,6550
2024-03-06,13250,7600,1150,13,6600
2024-03-07,13300,7650,1160,10,6650
2024-03-08,13350,7700,1170,9,6700
2024-03-09,13400,7750,1180,15,6750
2024-03-10,13450,7800,1190,7,6800
2024-03-11,13500,7850,1200,11,6850
2024-03-12,13550,7900,1210,12,6900
2024-03-13,13600,7950,1220,10,6950
2024-03-14,13650,8000,1230,14,7000
2024-03-15,13700,8050,1240,8,7050
2024-03-16,13750,8100,1250,11,7100
2024-03-17,13800,8150,1260,13,7150
2024-03-18,13850,8200,1270,10,7200
2024-03-19,13900,8250,1280,9,7250
2024-03-20,13950,8300,1290,12,7300
2024-03-21,14000,8350,1300,14,7350
2024-03-22,14050,8400,1310,7,7400
2024-03-23,14100,8450,1320,11,7450
2024-03-24,14150,8500,1330,10,7500
2024-03-25,14200,8550,1340,13,7550
2024-03-26,14250,8600,1350,8,7600
2024-03-27,14300,8650,1360,12,7650
2024-03-28,14350,8700,1370,11,7700
2024-03-29,14400,8750,1380,9,7750
2024-03-30,14450,8800,1390,14,7800
2024-03-31,14500,8850,1400,10,7850
